THEME,QUESTION,PERGUNTA,QUESTION,COUNT,AUTRE FORMULATION,TEMA,XMind
Temps,"Exister, est-ce profiter de l’instant présent ?",Existir é aproveitar o momento presente?,,,,Tempo (o),
Temps,Le temps est-il la limite de l’homme ?,O tempo é o limite do homem ?,Is time the limit of mankind ?,1,,Tempo (o),
Temps,Connaissons-nous mieux le présent que le passé ?,Conhecemos melhor o presente do que o passado ?,Do we know the present better than the past ?,1,,Tempo (o),
Temps,Prendre son temps est-ce le perdre ?,Aproveitar seu tempo é disperdiça-lo ?,Is taking one's time a waste?,1,,Tempo (o),
Temps,Comment peut-il y avoir du nouveau ?,Como pode existir algo novo ?,How can there be something new ?,1,,Tempo (o),1
Temps,Le temps est-il un processus linéaire ?,O tempo é um processo linear ?,Is time a linear proocess ?,1,,Tempo (o),
Temps,La fête est-elle toujours un gaspillage ?,A festa é sempre um desperdício ?,Is partying always futile ?,1,,Tempo (o),
Travail,Le besoin est-il l'origine du travail ?,A necessidade é a origem do trabalho ? ,Is necessity at the origin of labor ?,0,Le travail se justifie-t-il seulement par son utilité ?,Trabalho (o),
Travail,La division du travail sépare-t-elle les hommes ?,A divisão do trabalho separa os homens ?,Does the division of labor seperate people ?,1,,Trabalho (o),
Travail,Doit-on faire du travail une valeur ?,Devemos fazer do trabalho um valor ?,Should me make a virtue out of work ?,1,Faut-il faire l'éloge du travail ?,Trabalho (o),1
Travail,Travailler est-ce perdre son temps ?,Trabalhar é desperdiçar seu tempo ?,Is working a loss of one's time ?,0,"Travailler moins, est-ce vivre mieux ?",Trabalho (o),
Travail,"Travailler, est-ce seulement mettre en oeuvre des techniques ?",Travalhar somente é utilizar técnicas ?,Is work only the implementation of technical skills ?,0,Le travail éduque-t-il ?,Trabalho (o),
Travail,Le travail permet-il de prendre conscience de soi ?,O travalho permite tomar consciência de si ?,,,,Trabalho (o),
Travail,Le bonheur se trouve-t-il dans le repos ?,A felicidade encontra-se no descanso?,,,,Trabalho (o),
Vérité,La vérité dépend-elle de nous ?,A verdade depende de nós ?,Does the truth depend on us ?,1,,Verdade (a),
Vérité,A quoi peut-on reconnaître la vérité ?,O que nos faz reconhecer a verdade ?,How can we recognize the truth ?,0,Ce qui est vrai est-il toujours vérifiable ?,Verdade (a),
Vérité,La science relève-t-elle du seul désir de vérité ?,A ciência se origina somente do desejo de verdade ? ,Does science derive solely from our desire for knowing the truth ?,1,,Verdade (a),
Vérité,La pluralité des opinions est-elle un obstacle à la vérité ?,A pluralidade de opiniões é um obstáculo à verdade ?,Is plurality of opinions an obstacle to the truth ?,0,,Verdade (a),
Vérité,Faut-il préférer le bonheur à la vérité ? ,Deveríamos preferir a felicidade à verdade?,,,Peut-on ne pas admettre la vérité ?,Verdade (a),
Vérité,Y a-t-il d’autres moyens que la démonstration pour établir une vérité ? ,Existe outro meio que a demonstração para estabelecer a verdade ?,Are there other means than demonstration to establish the truth ?,1,,Verdade (a),
Vérité,Quel besoin avons-nous de chercher la vérité ? ,O que nos motiva buscar a verdade ?,What need to we have to seek the truth ?,1,,Verdade (a),
Vérité,Peut-on être sûr d'avoir raison ?,Podemos ter certeza que temos razão ?,Can we be sure of being right ?,1,Y a-t-il des vérités indiscutables ?,Verdade (a),1
Vérité,N’y a-t-il aucune vérité dans le mensonge ?  ,Não há nehuma verdade na mentira ?,Is there no truth at all in a lie ?,1,,Verdade (a),
Vérité,Ce qui est vrai en théorie peut-il être faux en pratique ?,O que é verdadeiro na teoria pode ser falso na prática ? ,Can what is true in theory be false in practice ?,0,,Verdade (a),
Vérité,Faut-il se méfier de la multiplicité des interprétations ?,Precisamos tomar cuidado com a multiplicidade das interpretações ?,Should we be wary of multiplicity of interpretations ?,0,,Verdade (a),
Vérité,Le doute: Une force ou une faiblesse ?,Duvidar: Uma força ou uma fraquesa ?,Doubt : A strength or a weakness ?,0,,Verdade (a),
Vérité,L'art peut-il manifester la vérité ?,A arte pode manifestar a verdade?,,,,Verdade (a),
Vérité,Toute croyance est-elle contraire à la raison ?,Toda crença é contraria à razão ?,Are all beliefs contrary to reason ?,,Peut-on avoir raison contre les faits ?,Verdade (a),
Vérité,"Ne fait-on qu'interpréter, à défaut de connaître ?","Não podendo saber, somente interpretamos ?",Do we interpret as we come short of knowing ?,0,,Verdade (a),
Vérité,Toutes les croyances se valent-elles ?,Todas as crenças se valem ?,Are all beliefs worth the same ?,,,Verdade (a),
Vérité,La politique échappe-t-elle à l'exigence de vérité ?,A política escapa da exigência de verdade ?,Does politics escape from the requirement of truth ?,,,Verdade (a),
Vérité,Peut-on avoir raison contre les faits ?,Podemos ter razão contra os fatos ?,Can one be right against the facts ?,0,,,
Vérité,Peut-on ne pas admettre la vérité ?,Podemos não admitir a verdade ?,Can one not admit the truth ?,0,,,
Vivre ensemble,Les hommes vivent-ils en société par intérêt ?,Os homens vivem em sociedade por interesse ?,Do men live in society out of necessity ?,1,L'homme est-il un animal social?,Viver juntos,
Vivre ensemble,Peut-on être soi-même devant les autres ?,Podemos ser nos mesmos na frente dos outros?,,,Faut-il chercher à démontrer ses opinions ?,Viver juntos,
Vivre ensemble,Autrui m'apprend-il quelque chose sur moi-même ?,O outro me ensina algo sobre mim mesmo ?,,,,Viver juntos,
Vivre ensemble,"Respecter tout être vivant, est-ce un devoir moral ?",Respeitar todo ser vivo é um dever moral ?,Is respecting all living beings a moral obligation ?,1,,Viver juntos,
Vivre ensemble,La solitude est-elle sans valeur ?,A solidão tem algum valor ?,Is solitude worthless ?,1,,Viver juntos,
Vivre ensemble,Une action désintéressée est-elle possible ? ,É possível existir uma ação desinteressada ?,Is a selfless action possible ?,1,,Viver juntos,
Vivre ensemble,Toute violence est-elle sans raison ?,Nenhuma violência tem justificativa ?,Is all violence without reason ?,1,,Viver juntos,
Vivre ensemble,Est-ce l’égalité des droits qui assure l’égalité des hommes ?,É a igualdade dos direitos que assegura a igualdade entre os homens?,,1,Une société juste peut-elle accepter des inégalités ?,Viver juntos,
Vivre ensemble,Les passions nous empêchent-elles de faire notre devoir ?,A paixão nos impede de cumprir nossas obrigações ?,Does passion prevent us from doing our duty ?,,,Viver juntos,
Vivre ensemble,Qu'avons-nous à gagner à faire notre devoir ?,O que ganhamos fazendo nosso dever ?,What do we have to gain by doing our duty ?,1,,Viver juntos,
Vivre ensemble,Pourquoi un acte est moral ?,O que torna um ação moral ?,Why is an action moral ?,1,,Viver juntos,
Vivre ensemble,Que pouvons-nous savoir des autres ?,O que podemos saber dos outros ?,What can we know about others ?,1,,Viver juntos,
Vivre ensemble,Faut-il s'identifier à autrui pour le comprendre ?,Identificar-se com os outros é necessário para compreendê-los ?,Do I need to identify myself with someone in order to understand him ? ,0,,Viver juntos,
Vivre ensemble,Peut-on concevoir une société sans conflit ?,Pode-se imaginar uma sociedade sem conflitos ?,Can we conceive a society without conflict ?,1,L’Etat doit-il maintenir l’ordre ou assurer la justice ?,Viver juntos,
Vivre ensemble,N’est-on responsable que de ses propres actes ?,Somente somos responsáveis pelos nossos próprios atos ?,Is one responsible only for one's own actions ?,1,,Viver juntos,
Vivre ensemble,N'avons nous de devoirs qu'envers autrui ?,Somente temos obrigações em relação aos outros ?,Do we only have obligations towards others ?,0,,Viver juntos,
Vivre ensemble,Peut-on experimenter sur le vivant ?,Podemos experimentar em seres vivos ?,Can we experiment on living beings ?,1,,Viver juntos,
Vivre ensemble,Que gagne-t-on à échanger ?,O que ganhamos com a troca ?,What do one gain from exchanging ?,1,Tous les échanges sont-ils profitables ?,Viver juntos,
Vivre ensemble,Comment peut-il y avoir un contre-pouvoir ?,Como pode existir um contra-poder ?,How can there be a counter-power ?,1,,Viver juntos,
Vivre ensemble,Le philosophe doit-il gouverner ? ,O filósofo deve governar?,,,,Viver juntos,
Vivre ensemble,La politique doit-elle faire le bonheur des citoyens ? ,A política deve promover a felicidade dos cidadãos ?,Should happiness of citizens be the goal of politics ?,,,Viver juntos,
Vivre ensemble,Toutes les cultures se valent-elles ?,Todas as culturas tem o mesmo valor?,,,,Viver juntos,
Vivre ensemble,L'action politique doit-elle être guidée par la connaissance de l'histoire ?,A atuação política precisa basear-se no conhecimento da história?,,,,Viver juntos,
Vivre ensemble,La conscience de l’individu n’est-elle que le reflet de la société à laquelle il appartient ?,A consciência do individuo somente é o reflexo da sociedade na qual ele vive?,,,,Viver juntos,
Vivre ensemble,La morale est-elle nécessaire à la vie des hommes en société ?,,,1,,Viver juntos,
Vivre ensemble,"Réfléchissez sur ""La condition de l'homme moderne"" aujourd'hui en 2018, indépendamment de la définition qu'en a donné Hannah Arendt en 1958","Reflita sobre ""A condição do homen moderno"" hoje em 2018, independentemente da definição dada pela Hannah Arendt em 1958",,0,,Viver juntos,
